[03:11:01] [Client thread/ERROR]: Can't find the resource index file: assets\indexes\1.8.9.json
[03:11:01] [Client thread/INFO]: Setting user: Player687
[03:11:01] [Client thread/INFO]: (Session ID is token:0:Player687)
[03:11:01] [Client thread/INFO]: [OptiFine] *** Reflector Forge ***
[03:11:01] [Client thread/INFO]: [OptiFine] *** Reflector Vanilla ***
[03:11:01] [Client thread/INFO]: [OptiFine] (Reflector) Class not present: net.minecraftforge.fml.common.eventhandler.Event$Result
[03:11:01] [Client thread/INFO]: [OptiFine] (Reflector) Class not present: net.minecraft.launchwrapper.Launch
[03:11:01] [Client thread/INFO]: LWJGL Version: 2.9.4
[03:11:02] [Client thread/INFO]: [OptiFine] 
[03:11:02] [Client thread/INFO]: [OptiFine] OptiFine_1.8.9_HD_U_M5
[03:11:02] [Client thread/INFO]: [OptiFine] Build: null
[03:11:02] [Client thread/INFO]: [OptiFine] OS: Windows 11 (amd64) version 10.0
[03:11:02] [Client thread/INFO]: [OptiFine] Java: 1.8.0_372, Amazon.com Inc.
[03:11:02] [Client thread/INFO]: [OptiFine] VM: OpenJDK 64-Bit Server VM (mixed mode), Amazon.com Inc.
[03:11:02] [Client thread/INFO]: [OptiFine] LWJGL: 2.9.4
[03:11:02] [Client thread/INFO]: [OptiFine] OpenGL: NVIDIA GeForce GTX 1660/PCIe/SSE2, version 4.6.0 NVIDIA 531.18, NVIDIA Corporation
[03:11:02] [Client thread/INFO]: [OptiFine] OpenGL Version: 4.6.0
[03:11:02] [Client thread/INFO]: [OptiFine] Maximum texture size: 32768x32768
[03:11:02] [VersionCheck/INFO]: [OptiFine] Checking for new version
[03:11:02] [Client thread/INFO]: [Shaders] OpenGL Version: 4.6.0 NVIDIA 531.18
[03:11:02] [Client thread/INFO]: [Shaders] Vendor:  NVIDIA Corporation
[03:11:02] [Client thread/INFO]: [Shaders] Renderer: NVIDIA GeForce GTX 1660/PCIe/SSE2
[03:11:02] [Client thread/INFO]: [Shaders] Capabilities:  2.0  2.1  3.0  3.2  4.0 
[03:11:02] [Client thread/INFO]: [Shaders] GL_MAX_DRAW_BUFFERS: 8
[03:11:02] [Client thread/INFO]: [Shaders] GL_MAX_COLOR_ATTACHMENTS_EXT: 8
[03:11:02] [Client thread/INFO]: [Shaders] GL_MAX_TEXTURE_IMAGE_UNITS: 32
[03:11:02] [Client thread/INFO]: [Shaders] Load shaders configuration.
[03:11:02] [Client thread/INFO]: [Shaders] Loaded shaderpack: ComplementaryShaders_v4.0.2.zip
[03:11:02] [Client thread/INFO]: [OptiFine] [Shaders] Worlds: -31, -30, -29, -28, -27, -23, -1, 1, 2, 5, 7, 10, 17, 20, 50, 51, 52, 53
[03:11:02] [VersionCheck/INFO]: [OptiFine] Version found: M5
[03:11:19] [Client thread/INFO]: [OptiFine] (Reflector) Class not present: net.minecraftforge.fml.common.Loader
[03:11:19] [Client thread/INFO]: [OptiFine] [Shaders] Parsing block mappings: /shaders/block.properties
[03:11:19] [Client thread/WARN]: [OptiFine] [Shaders] Invalid block ID mapping: block.12345=
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:crabgrass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:beach_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:sea_oats
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:cattail
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:coral
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: coralreef:coral
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:seaweed
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:flower_0
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: aether_legacy:purple_flower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: aether_legacy:white_flower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:twilight_plant
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: minecraftfuture:flowerblack
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: minecraftfuture:flowerblue
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: minecraftfuture:flowerwhite
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_feather
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_fade
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_ailment
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_tangle
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_cinder
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_bark
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_bramble
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_xp
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dungeontactics:flower_sanguine
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: futuremc:sweet_berry_bush
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:shadedgarden
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: extrautils2:ironwood_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:sapling_0
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:sapling_1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:sapling_2
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: tconstruct:slime_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: ic2:sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:twilight_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:shadowroot_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:dark_willow_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: aether_legacy:golden_oak_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: aether_legacy:skyroot_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:fig_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:date_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:papaya_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:cherry_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:soursop_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:dragonfruit_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:rambutan_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:jackfruit_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:passionfruit_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:apple_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:lemon_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:pear_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:plum_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:banana_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:starfruit_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:vanillabean_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:cashew_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:pomegranate_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:grapefruit_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:spiderweb_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:olive_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:avocado_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:pecan_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:pistachio_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:hazelnut_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:lime_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:peppercorn_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:almond_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:gooseberry_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:peach_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:persimmon_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:lychee_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:walnut_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:orange_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:apricot_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:mango_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:coconut_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:pawpaw_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:chestnut_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:guava_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:breadfruit_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:nutmeg_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:durian_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:tamarind_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:cinnamon_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:maple_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:paperbark_sapling
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:frostgarden
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: futuremc:cornflower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: xlfoodmod:vanilla_flower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:temple_bells
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:bellflowers
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:wind_thistle
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: botania:flower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:windygarden
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:aloe_vera
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:legume
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:maireana
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:bassia
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:chamomile
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:horsetail
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:ginseng
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: ebwizardry:crystal_flower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:spleenwort
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:ostritch_fern
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:soggygarden
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:bromeliad
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:marsh_mallow
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:mooncap_mushroom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:tropicalgarden
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:golden_sparks
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:cohosh
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:peach_flower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:mushroom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: astralsorcery:blockcustomflower
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: harvestcraft:aridgarden
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:flower_1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:blood_orchid
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:cloudsbluff
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: forestry:sapling_ge
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:silverleaf
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:frost_lotus
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:deathcap
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:orange_mushroom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:waxcap
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:glowcap
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:small_cactus
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:sundew
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: iceandfire:fire_lily
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: iceandfire:frost_lily
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:flower_patch
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: betteranimalsplus:trillium
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: mod_lavacow:cordy_shroom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: mod_lavacow:veil_shroom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: minecraft:beetroots
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:wild_wheat
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:wild_potato
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:wild_beetroot
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:wild_carrot
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:swamp_double_tallgrass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:tall_cattail
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:double_midnight_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:eucalyptus_top
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: botania:doubleflower1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: botania:doubleflower2
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:karvy_top
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:swamp_double_tallgrass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:tall_cattail
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:double_midnight_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:eucalyptus_bottom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: botania:doubleflower1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: botania:doubleflower2
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: zawa:karvy_bottom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:leaves_0
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:leaves_1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:leaves_2
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:leaves_3
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:leaves_4
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:leaves_5
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: atum:palm_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: atum:deadwood_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: quark:variant_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:twilight_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:magic_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:twilight_leaves_3
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:dark_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: twilightforest:giant_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:shadowroot_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:dark_willow_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: aether_legacy:aether_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: aether_legacy:crystal_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dynamictrees:leaves0
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: dynamictrees:leaves1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: betterwithmods:blood_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: rustic:leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_weedwood_tree
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_sap_tree
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_rubber_tree
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_hearthgrove_tree
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_nibbletwig_tree
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_spirit_tree_top
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_spirit_tree_middle
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:leaves_spirit_tree_bottom
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: ic2:leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: tconstruct:slime_leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: forestry:leaves
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:leaves_willow
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:leaves_mangrove
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:leaves_palm
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:leaves_redwood
